TASK_ID,PHASE,COMPANY,MEETING_ID,OBJECTIVE,OWNER,DUE_DATE,DEPENDENCY,REQUIRED_INPUT,REQUIRED_EVIDENCE,ACCEPTANCE_CRITERION,STATUS,POST_MEETING_ACTION
ARRK-PRE-01,PRE-MEETING,ARRK,ARRK-M01,Confirm identity / participants,Naif,TBD,Contact record,Name/title record,Confirmed meeting invite,Participants confirmed,OPEN,
ARRK-PRE-02,PRE-MEETING,ARRK,ARRK-M01,Confirm meeting timing / timezone,Naif,TBD,Scheduling,Invite,Confirmed date/time/timezone,Calendar record verified,OPEN,
ARRK-PRE-03,PRE-MEETING,ARRK,ARRK-M01,Prepare L1 deck + brief,John,Before meeting,Package revision,Presentation + L1 brief,Final package hash,Exact revision matches inventory,OPEN,
ARRK-PRE-04,PRE-MEETING,ARRK,ARRK-M01,Run disclosure checklist,John,Before meeting,L1 boundary,Disclosure checklist,Completed checklist,No prohibited content,OPEN,
ARRK-PRE-05,PRE-MEETING,ARRK,ARRK-M01,Prepare C1–C5 questions,John,Before meeting,Company module,Question tree,Prepared question list,All C1–C5 covered,OPEN,
ARRK-LIVE-01,LIVE-MEETING,ARRK,ARRK-M01,Capture technical scope,John,Meeting,C1,Company response,Minutes,Scope recorded,OPEN,Convert to action
ARRK-LIVE-02,LIVE-MEETING,ARRK,ARRK-M01,Capture required evidence,John,Meeting,C2,Company response,Minutes,Evidence list recorded,OPEN,Issue evidence requests
ARRK-LIVE-03,LIVE-MEETING,ARRK,ARRK-M01,Capture entry criteria,John,Meeting,C3,Company response,Minutes,Entry criteria recorded,OPEN,Gate Phase-1
ARRK-LIVE-04,LIVE-MEETING,ARRK,ARRK-M01,Capture commercial structure,Naif,Meeting,C4,Company response,Minutes / quote,Structure explicitly stated,OPEN,Commercial follow-up
ARRK-LIVE-05,LIVE-MEETING,ARRK,ARRK-M01,Capture NDA trigger,Naif,Meeting,C5,Company response,Disclosure log,Trigger explicitly stated,OPEN,Route disclosure
ARRK-LIVE-06,LIVE-MEETING,ARRK,ARRK-M01,Capture owner + deadline,Naif,Meeting,Action closeout,Agreed action,Minutes,One owner + one deadline,OPEN,Create action item
ARRK-POST-01,POST-MEETING,ARRK,ARRK-M01,Convert meeting record to evidence ledger,John,Within 1 business day,Minutes,Meeting record,Evidence ledger,All statements classified,OPEN,Peter review
